Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2022;Governador;Branca;Deferido;Solteiro(a);45 a 49 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Servidor Público Federal;PSOL;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);45 a 49 anos;Masculino;Superior completo;PIAUÍ;Brasileira nata;Servidor Público Municipal;PATRIOTA;Apto;Não eleito;PI;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);50 a 54 anos;Feminino;Superior completo;MINAS GERAIS;Brasileira nata;Servidor Público Municipal;PSTU;Apto;Não eleito;MG;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);50 a 54 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Professor de Ensino Fundamental;PSTU;Apto;Não eleito;PE;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);50 a 54 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Deputado;PT;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Solteiro(a);50 a 54 anos;Masculino;Superior completo;SÃO PAULO;Brasileira nata;Agente Postal;PCO;Apto;Não eleito;SP;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);55 a 59 anos;Feminino;Superior completo;PARANÁ;Brasileira nata;Professor e Instrutor de Formação Profissional;PMN;Apto;Não eleito;PR;SUL
2022;Governador;Branca;Deferido;Solteiro(a);55 a 59 anos;Feminino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Assistente Social;PSTU;Apto;Não eleito;RN;NORDESTE
2022;Governador;Branca;Deferido;Solteiro(a);55 a 59 anos;Masculino;Superior completo;DISTRITO FEDERAL;Brasileira nata;Professor de Ensino Superior;DC;Apto;Não eleito;DF;CENTRO-OESTE
2022;Governador;Branca;Deferido;Solteiro(a);55 a 59 anos;Masculino;Superior completo;ESPÍRITO SANTO;Brasileira nata;Professor de Ensino Superior;NOVO;Apto;Não eleito;ES;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);65 a 69 anos;Masculino;Superior completo;RIO DE JANEIRO;Brasileira nata;Professor de Ensino Superior;PCB;Apto;Não eleito;RJ;SUDESTE
2022;Governador;Branca;Deferido;Solteiro(a);65 a 69 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Brasileira nata;Professor de Ensino Superior;PSB;Apto;Não eleito;RS;SUL
2022;Governador;Branca;Deferido;Viúvo(a);70 a 74 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Aposentado (Exceto Servidor Público);UP;Apto;Não eleito;GO;CENTRO-OESTE
2022;Governador;Indígena;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;AMAZONAS;Brasileira nata;Médico;PSOL;Apto;Não eleito;AM;NORTE
2022;Governador;Indígena;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Professor de Ensino Superior;PT;Apto;2º turno;BA;NORDESTE
2022;Governador;Indígena;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;BAHIA;Brasileira nata;Professor de Ensino Superior;PT;Apto;Eleito;BA;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);30 a 34 anos;Feminino;Superior completo;SERGIPE;Brasileira nata;Advogado;PSOL;Apto;Não eleito;SE;NORDESTE
2022;Governador;Parda;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;ACRE;Brasileira nata;Professor de Ensino Médio;AGIR;Apto;Não eleito;AC;NORTE
