Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nacionalidade;Ocupação;Sigla partido;Situação de candidatura;Situação de totalização;UF;Região
2018;Vice-governador;Branca;Deferido;Casado(a);55 a 59 anos;Masculino;Superior completo;RIO GRANDE DO NORTE;Brasileira nata;Advogado;PC do B;Apto;Eleito;RN;NORDESTE
2018;Vice-governador;Branca;Deferido;Casado(a);60 a 64 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Governador;PRB;Apto;Eleito;MA;NORDESTE
2018;Vice-governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Ensino Médio completo;RONDÔNIA;Brasileira nata;Empresário;PSL;Apto;Eleito;RO;NORTE
2018;Vice-governador;Branca;Deferido;Casado(a);65 a 69 anos;Masculino;Superior completo;MATO GROSSO DO SUL;Brasileira nata;Empresário;DEM;Apto;Eleito;MS;CENTRO-OESTE
2018;Vice-governador;Branca;Deferido;Casado(a);70 a 74 anos;Masculino;Ensino Fundamental incompleto;BAHIA;Brasileira nata;Empresário;PP;Apto;Eleito;BA;NORDESTE
2018;Vice-governador;Branca;Deferido;Casado(a);75 a 79 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Empresário;PSD;Apto;Eleito;PR;SUL
2018;Vice-governador;Branca;Deferido;Divorciado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;MATO GROSSO;Brasileira nata;Produtor Agropecuário;PDT;Apto;Eleito;MT;CENTRO-OESTE
2018;Vice-governador;Branca;Deferido;Divorciado(a);60 a 64 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Engenheiro;MDB;Apto;Eleito;AL;NORDESTE
2018;Vice-governador;Branca;Deferido;Divorciado(a);65 a 69 anos;Masculino;Superior completo;MINAS GERAIS;Brasileira nata;Economista;NOVO;Apto;Eleito;MG;SUDESTE
2018;Vice-governador;Branca;Deferido;Solteiro(a);40 a 44 anos;Feminino;Superior completo;SANTA CATARINA;Brasileira nata;Advogado;PSL;Apto;Eleito;SC;SUL
2018;Vice-governador;Branca;Deferido;Solteiro(a);55 a 59 anos;Masculino;Superior completo;AMAPÁ;Brasileira nata;Empresário;PROS;Apto;Eleito;AP;NORTE
2018;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Feminino;Superior completo;PERNAMBUCO;Brasileira nata;Deputado;PC do B;Apto;Eleito;PE;NORDESTE
2018;Vice-governador;Parda;Deferido;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;TOCANTINS;Brasileira nata;Outros;PHS;Apto;Eleito;TO;NORTE
2018;Vice-governador;Parda;Deferido;Casado(a);55 a 59 anos;Feminino;Superior completo;CEARÁ;Brasileira nata;Professor de Ensino Superior;PDT;Apto;Eleito;CE;NORDESTE
2018;Vice-governador;Parda;Deferido;Casado(a);60 a 64 anos;Feminino;Superior completo;PARAÍBA;Brasileira nata;Médico;PDT;Apto;Eleito;PB;NORDESTE
2018;Vice-governador;Parda;Deferido;Solteiro(a);65 a 69 anos;Feminino;Superior completo;PIAUÍ;Brasileira nata;Senador;PT;Apto;Eleito;PI;NORDESTE
2018;Vice-governador;Parda;Deferido;Viúvo(a);45 a 49 anos;Feminino;Superior completo;SERGIPE;Brasileira nata;Outros;PT;Apto;Eleito;SE;NORDESTE
2018;Vice-governador;Preta;Deferido;Casado(a);40 a 44 anos;Feminino;Superior incompleto;ESPÍRITO SANTO;Brasileira nata;Empresário;PSB;Apto;Eleito;ES;SUDESTE
2018;Vice-presidente;Indígena;Deferido;Viúvo(a);65 a 69 anos;Masculino;Superior completo;BRASIL;Brasileira nata;Membro das Forças Armadas;PRTB;Apto;Eleito;BR;BR
2014;Governador;Amarela;Deferido;Casado(a);50 a 54 anos;Masculino;Superior incompleto;PIAUÍ;Brasileira nata;Senador;PT;Apto;Eleito;PI;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);35 a 39 anos;Masculino;Superior completo;ALAGOAS;Brasileira nata;Deputado;PMDB;Apto;Eleito;AL;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);40 a 44 anos;Masculino;Superior completo;PERNAMBUCO;Brasileira nata;Economista;PSB;Apto;Eleito;PE;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;CEARÁ;Brasileira nata;Deputado;PT;Apto;Eleito;CE;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;MARANHÃO;Brasileira nata;Advogado;PC do B;Apto;Eleito;MA;NORDESTE
2014;Governador;Branca;Deferido;Casado(a);45 a 49 anos;Masculino;Superior completo;PARANÁ;Brasileira nata;Engenheiro;PSDB;Apto;Eleito;PR;SUL
2014;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;ACRE;Brasileira nata;Governador;PT;Apto;Eleito;AC;NORTE
2014;Governador;Branca;Deferido;Casado(a);50 a 54 anos;Masculino;Superior completo;GOIÁS;Brasileira nata;Governador;PSDB;Apto;Eleito;GO;CENTRO-OESTE
